po_id,material_id,vendor_id,order_date,delivery_date,quantity,is_delivery_date_given,lead_time,is_po_qty_given
PO100028,M0172,V002,2025-04-18,2025-06-06,97,Yes,49.0,Yes
PO100029,M0005,V006,2025-01-06,2025-02-14,5,Yes,39.0,Yes
PO100030,M0097,V030,2025-04-23,2025-05-24,57,Yes,31.0,Yes
PO100031,M0150,V046,2025-01-23,2025-02-11,412,Yes,19.0,Yes
PO100032,M0170,V043,2025-01-09,2025-02-11,334,Yes,33.0,Yes
PO100033,M0135,V031,2025-12-23,2026-02-03,69,Yes,42.0,Yes
PO100034,M0012,V030,2026-02-09,2026-03-03,118,Yes,22.0,Yes
PO100035,M0066,V041,2025-07-18,2025-09-12,376,Yes,56.0,Yes
PO100036,M0044,V018,2025-02-13,2025-04-14,59,Yes,60.0,Yes
PO100037,M0016,V039,2025-01-13,2025-01-18,33,Yes,5.0,Yes
PO100038,M0073,V043,2025-05-19,2025-07-11,318,Yes,53.0,Yes
PO100039,M0052,V001,2025-03-11,2025-05-06,50,Yes,56.0,Yes
PO100040,M0179,V022,2025-01-16,2025-01-31,368,Yes,15.0,Yes
PO100041,M0159,V003,2025-03-24,2025-05-12,489,Yes,49.0,Yes
PO100042,M0070,V042,2025-01-05,2025-02-06,19,Yes,32.0,Yes
PO100043,M0014,V040,2025-10-16,2025-11-11,214,Yes,26.0,Yes
PO100044,M0120,V029,2025-02-05,2025-02-27,197,Yes,22.0,Yes
PO100045,M0168,V021,2025-05-11,2025-05-25,379,Yes,14.0,Yes
PO100046,M0003,V047,2025-02-14,2025-03-04,450,Yes,18.0,Yes
PO100047,M0018,V047,2025-03-30,2025-05-22,478,Yes,53.0,Yes
PO100049,M0170,V037,2025-01-25,2025-02-05,167,Yes,11.0,Yes
PO100050,M0070,V009,2026-02-24,2026-03-06,452,Yes,10.0,Yes
PO100051,M0170,V014,2025-06-29,2025-07-28,289,Yes,29.0,Yes
PO100052,M0169,V004,2025-12-03,2025-12-14,141,Yes,11.0,Yes
PO100054,M0028,V042,2025-04-20,2025-06-18,182,Yes,59.0,Yes
PO100055,M0005,V019,2025-11-02,2025-11-29,391,Yes,27.0,Yes
PO100056,M0075,V021,2025-01-12,2025-02-24,79,Yes,43.0,Yes
PO100058,M0099,V004,2025-01-06,2025-03-03,14,Yes,56.0,Yes
PO100059,M0060,V048,2025-02-17,2025-02-24,215,Yes,7.0,Yes
PO100060,M0098,V005,2025-03-01,2025-04-21,403,Yes,51.0,Yes
PO100061,M0131,V036,2025-02-07,2025-03-13,128,Yes,34.0,Yes
PO100062,M0182,V039,2025-07-31,2025-09-08,310,Yes,39.0,Yes
PO100063,M0026,V025,2025-02-22,2025-03-06,477,Yes,12.0,Yes
PO100064,M0081,V006,2025-02-09,2025-03-10,248,Yes,29.0,Yes
PO100065,M0125,V026,2025-04-04,2025-04-14,404,Yes,10.0,Yes
PO100066,M0153,V017,2025-01-19,2025-02-28,29,Yes,40.0,Yes
PO100067,M0137,V012,2025-07-14,2025-08-06,280,Yes,23.0,Yes
PO100068,M0023,V016,2025-01-10,2025-03-09,338,Yes,58.0,Yes
PO100069,M0048,V050,2026-06-05,2026-07-20,319,Yes,45.0,Yes
PO100070,M0051,V026,2025-06-27,2025-08-10,202,Yes,44.0,Yes
PO100071,M0129,V006,2025-01-27,2025-03-28,361,Yes,60.0,Yes
PO100072,M0118,V002,2025-01-01,2025-01-29,57,Yes,28.0,Yes
PO100073,M0144,V014,2025-07-22,2025-09-01,392,Yes,41.0,Yes
PO100074,M0183,V011,2025-05-28,2025-06-14,218,Yes,17.0,Yes
PO100075,M0006,V025,2025-06-06,2025-07-26,62,Yes,50.0,Yes
PO100076,M0011,V050,2025-06-27,2025-07-06,157,Yes,9.0,Yes
PO100077,M0064,V026,2025-01-10,2025-01-17,202,Yes,7.0,Yes
PO100078,M0136,V019,2025-02-23,2025-04-11,17,Yes,47.0,Yes
PO100079,M0079,V042,2025-01-15,2025-02-03,322,Yes,19.0,Yes
PO100080,M0086,V049,2025-08-27,2025-10-20,6,Yes,54.0,Yes
PO100081,M0126,V042,2025-04-28,2025-05-21,58,Yes,23.0,Yes
PO100082,M0101,V010,2025-02-18,2025-02-28,325,Yes,10.0,Yes
PO100083,M0191,V008,2025-01-08,2025-03-08,412,Yes,59.0,Yes
PO100084,M0041,V020,2025-02-14,2025-03-05,318,Yes,19.0,Yes
PO100085,M0005,V032,2025-02-17,2025-04-18,169,Yes,60.0,Yes
PO100087,M0176,V028,2025-05-02,2025-05-31,82,Yes,29.0,Yes
PO100088,M0091,V048,2025-09-19,2025-10-11,474,Yes,22.0,Yes
PO100090,M0161,V020,2025-01-16,2025-03-02,425,Yes,45.0,Yes
PO100091,M0078,V044,2025-05-30,2025-07-27,433,Yes,58.0,Yes
PO100092,M0061,V039,2025-06-21,2025-07-19,219,Yes,28.0,Yes
PO100093,M0129,V009,2025-04-09,2025-04-24,177,Yes,15.0,Yes
PO100094,M0071,V023,2025-06-26,2025-07-24,204,Yes,28.0,Yes
PO100095,M0016,V043,2025-03-23,2025-04-19,71,Yes,27.0,Yes
PO100096,M0161,V007,2025-03-30,2025-04-17,387,Yes,18.0,Yes
PO100097,M0066,V024,2025-03-08,2025-04-24,266,Yes,47.0,Yes
PO100098,M0100,V033,2025-01-04,2025-01-26,98,Yes,22.0,Yes
PO100099,M0008,V013,2025-01-14,2025-03-04,345,Yes,49.0,Yes
PO100100,M0143,V032,2025-01-04,2025-02-21,291,Yes,48.0,Yes
PO100101,M0072,V029,2025-05-02,2025-06-17,208,Yes,46.0,Yes
PO100102,M0058,V025,2025-02-15,2025-02-24,2,Yes,9.0,Yes
PO100103,M0039,V031,2025-03-27,2025-05-09,124,Yes,43.0,Yes
PO100104,M0088,V018,2025-10-13,2025-11-27,280,Yes,45.0,Yes
PO100105,M0101,V037,2025-02-04,2025-02-19,74,Yes,15.0,Yes
PO100106,M0169,V039,2025-03-05,2025-04-13,166,Yes,39.0,Yes
PO100107,M0036,V028,2025-06-19,2025-08-09,22,Yes,51.0,Yes
PO100108,M0023,V006,2025-02-01,2025-02-21,154,Yes,20.0,Yes
PO100109,M0187,V049,2025-01-10,2025-01-25,427,Yes,15.0,Yes
PO100110,M0098,V028,2025-02-11,2025-03-17,439,Yes,34.0,Yes
PO100112,M0174,V024,2025-11-15,2025-12-07,219,Yes,22.0,Yes
PO100113,M0157,V040,2025-07-18,2025-09-01,157,Yes,45.0,Yes
PO100114,M0161,V012,2025-05-01,2025-06-19,495,Yes,49.0,Yes
PO100115,M0176,V028,2025-09-04,2025-10-14,230,Yes,40.0,Yes
PO100116,M0059,V041,2025-07-15,2025-08-03,20,Yes,19.0,Yes
PO100117,M0107,V028,2025-01-25,2025-03-14,475,Yes,48.0,Yes
PO100118,M0062,V006,2025-09-25,2025-10-20,41,Yes,25.0,Yes
PO100119,M0147,V003,2025-04-04,2025-06-01,438,Yes,58.0,Yes
PO100120,M0040,V033,2025-07-17,2025-09-09,148,Yes,54.0,Yes
PO100121,M0110,V022,2025-09-29,2025-11-22,108,Yes,54.0,Yes
PO100122,M0080,V030,2025-02-15,2025-02-23,403,Yes,8.0,Yes
PO100123,M0155,V044,2025-01-14,2025-02-02,84,Yes,19.0,Yes
PO100124,M0085,V015,2025-02-01,2025-03-30,483,Yes,57.0,Yes
PO100125,M0115,V042,2025-03-08,2025-03-15,367,Yes,7.0,Yes
PO100126,M0139,V044,2025-07-24,2025-09-18,322,Yes,56.0,Yes
PO100127,M0034,V046,2025-08-25,2025-09-19,414,Yes,25.0,Yes
PO100128,M0053,V010,2025-01-01,2025-01-31,309,Yes,30.0,Yes
PO100129,M0168,V032,2025-03-27,2025-04-18,290,Yes,22.0,Yes
PO100130,M0036,V034,2025-03-06,2025-03-15,406,Yes,9.0,Yes
PO100131,M0149,V041,2025-01-31,2025-02-18,323,Yes,18.0,Yes
PO100132,M0139,V042,2025-01-16,2025-02-26,134,Yes,41.0,Yes
PO100133,M0176,V034,2025-02-19,2025-04-10,207,Yes,50.0,Yes
PO100134,M0052,V006,2025-12-10,2026-01-04,283,Yes,25.0,Yes
PO100135,M0036,V019,2025-02-16,2025-03-06,266,Yes,18.0,Yes
PO100136,M0080,V030,2025-03-29,2025-05-14,73,Yes,46.0,Yes
PO100137,M0177,V028,2025-05-26,2025-07-01,481,Yes,36.0,Yes
PO100138,M0181,V006,2025-02-24,2025-03-26,352,Yes,30.0,Yes
PO100140,M0035,V031,2026-01-29,2026-03-04,326,Yes,34.0,Yes
PO100141,M0111,V020,2025-02-04,2025-02-18,233,Yes,14.0,Yes
PO100142,M0198,V010,2025-03-24,2025-04-14,443,Yes,21.0,Yes
PO100143,M0038,V009,2025-02-12,2025-02-25,100,Yes,13.0,Yes
PO100144,M0168,V044,2025-02-10,2025-03-02,59,Yes,20.0,Yes
PO100145,M0145,V020,2025-01-05,2025-02-26,258,Yes,52.0,Yes
PO100146,M0041,V016,2025-04-23,2025-06-02,413,Yes,40.0,Yes
PO100147,M0082,V034,2025-03-25,2025-05-03,452,Yes,39.0,Yes
PO100148,M0018,V028,2025-01-07,2025-01-28,65,Yes,21.0,Yes
PO100149,M0143,V019,2025-02-09,2025-04-02,83,Yes,52.0,Yes
PO100150,M0137,V037,2025-10-14,2025-11-13,154,No,,Yes
PO100151,M0185,V004,2025-02-02,2025-03-06,473,Yes,32.0,Yes
PO100152,M0031,V036,2025-01-19,2025-03-02,266,Yes,42.0,Yes
PO100153,M0048,V005,2025-03-22,2025-04-21,309,Yes,30.0,Yes
PO100154,M0082,V003,2026-05-25,2026-06-22,79,Yes,28.0,Yes
PO100155,M0038,V033,2025-02-03,2025-02-22,315,Yes,19.0,Yes
PO100156,M0187,V007,2025-05-14,2025-05-27,150,Yes,13.0,Yes
PO100157,M0008,V033,2025-06-22,2025-07-29,435,Yes,37.0,Yes
PO100158,M0196,V028,2025-02-02,2025-03-10,48,Yes,36.0,Yes
PO100159,M0082,V027,2025-06-06,2025-06-16,405,Yes,10.0,Yes
PO100160,M0106,V007,2025-02-25,2025-04-19,379,Yes,53.0,Yes
PO100161,M0106,V030,2025-05-01,2025-05-09,248,Yes,8.0,Yes
PO100162,M0078,V043,2025-05-01,2025-06-30,278,Yes,60.0,Yes
PO100163,M0114,V047,2025-04-03,2025-04-15,356,Yes,12.0,Yes
PO100164,M0191,V037,2025-01-12,2025-01-26,98,Yes,14.0,Yes
PO100166,M0190,V017,2025-02-16,2025-03-03,25,Yes,15.0,Yes
PO100167,M0071,V023,2025-01-25,2025-03-21,493,Yes,55.0,Yes
PO100168,M0039,V017,2025-01-05,2025-02-22,284,Yes,48.0,Yes
PO100169,M0200,V038,2025-04-18,2025-05-20,449,Yes,32.0,Yes
PO100170,M0049,V006,2025-05-16,2025-06-28,369,Yes,43.0,Yes
PO100171,M0028,V050,2025-01-03,2025-01-12,301,Yes,9.0,Yes
PO100172,M0034,V033,2025-03-28,2025-04-26,68,Yes,29.0,Yes
PO100173,M0048,V002,2025-01-31,2025-03-01,7,Yes,29.0,Yes
PO100174,M0007,V008,2025-05-05,2025-06-17,305,Yes,43.0,Yes
PO100175,M0196,V048,2025-01-23,2025-02-26,137,Yes,34.0,Yes
PO100176,M0157,V043,2025-05-21,2025-06-28,164,Yes,38.0,Yes
PO100177,M0158,V030,2025-02-28,2025-03-21,83,Yes,21.0,Yes
PO100178,M0069,V012,2025-11-28,2026-01-07,385,Yes,40.0,Yes
PO100180,M0146,V012,2025-02-20,2025-02-25,420,Yes,5.0,Yes
PO100181,M0157,V026,2025-01-15,2025-03-04,73,Yes,48.0,Yes
PO100182,M0060,V003,2025-11-07,2025-12-28,237,Yes,51.0,Yes
PO100183,M0153,V006,2025-09-09,2025-09-21,46,Yes,12.0,Yes
PO100184,M0060,V027,2025-02-05,2025-03-25,106,Yes,48.0,Yes
PO100185,M0060,V046,2025-05-10,2025-06-18,416,Yes,39.0,Yes
PO100186,M0176,V020,2025-07-23,2025-09-14,288,Yes,53.0,Yes
PO100187,M0007,V021,2025-04-08,2025-04-30,262,Yes,22.0,Yes
PO100188,M0092,V038,2025-04-01,2025-05-25,176,Yes,54.0,Yes
PO100189,M0021,V047,2025-02-03,2025-03-21,166,Yes,46.0,Yes
PO100190,M0177,V030,2025-01-12,2025-02-07,145,Yes,26.0,Yes
PO100191,M0200,V049,2025-10-01,2025-10-13,330,Yes,12.0,Yes
PO100192,M0123,V043,2025-10-04,2025-10-27,370,Yes,23.0,Yes
PO100193,M0035,V029,2025-05-01,2025-06-02,283,Yes,32.0,Yes
PO100194,M0129,V040,2025-02-19,2025-03-06,54,Yes,15.0,Yes
PO100196,M0121,V017,2025-06-05,2025-06-10,419,Yes,5.0,Yes
PO100197,M0183,V022,2025-09-30,2025-11-20,244,Yes,51.0,Yes
PO100199,M0096,V012,2025-07-01,2025-07-22,127,Yes,21.0,Yes
PO100200,M0048,V014,2025-05-04,2025-06-10,409,Yes,37.0,Yes
PO100201,M0100,V012,2025-01-11,2025-03-05,412,Yes,53.0,Yes
PO100202,M0126,V006,2025-01-22,2025-02-07,367,Yes,16.0,Yes
PO100203,M0122,V048,2025-10-02,2025-11-08,271,Yes,37.0,Yes
PO100204,M0036,V039,2025-04-22,2025-05-03,132,Yes,11.0,Yes
PO100205,M0042,V017,2025-01-02,2025-03-03,93,Yes,60.0,Yes
PO100206,M0050,V044,2025-01-13,2025-02-27,379,Yes,45.0,Yes
PO100207,M0058,V007,2025-05-11,2025-06-04,73,Yes,24.0,Yes
PO100208,M0009,V028,2025-01-01,2025-02-28,411,Yes,58.0,Yes
PO100209,M0105,V035,2025-01-22,2025-03-08,410,Yes,45.0,Yes
PO100210,M0196,V002,2025-04-06,2025-05-13,403,Yes,37.0,Yes
PO100211,M0004,V001,2025-05-22,2025-07-04,248,Yes,43.0,Yes
PO100212,M0070,V026,2025-05-07,2025-05-24,348,Yes,17.0,Yes
PO100213,M0106,V008,2025-01-31,2025-02-14,273,Yes,14.0,Yes
PO100214,M0057,V001,2025-05-30,2025-06-27,43,Yes,28.0,Yes
PO100215,M0191,V011,2025-02-02,2025-03-27,377,Yes,53.0,Yes
PO100216,M0172,V042,2025-02-17,2025-03-04,41,Yes,15.0,Yes
PO100217,M0052,V031,2025-06-14,2025-07-23,170,Yes,39.0,Yes
PO100218,M0194,V030,2025-05-06,2025-06-29,434,Yes,54.0,Yes
PO100219,M0053,V045,2025-08-16,2025-09-23,212,Yes,38.0,Yes
PO100220,M0017,V026,2025-05-09,2025-05-14,493,Yes,5.0,Yes
PO100221,M0046,V043,2025-04-11,2025-05-24,168,Yes,43.0,Yes
PO100222,M0113,V048,2025-01-12,2025-02-06,39,Yes,25.0,Yes
PO100223,M0158,V039,2025-02-25,2025-04-02,369,Yes,36.0,Yes
PO100224,M0126,V047,2025-02-06,2025-02-12,245,Yes,6.0,Yes
PO100225,M0177,V032,2025-02-03,2025-03-11,151,No,,Yes
PO100226,M0084,V020,2026-03-10,2026-04-07,111,Yes,28.0,Yes
PO100227,M0118,V040,2025-03-01,2025-03-31,480,No,,Yes
PO100229,M0110,V040,2025-04-30,2025-05-24,47,Yes,24.0,Yes
PO100230,M0104,V024,2025-07-10,2025-07-30,63,Yes,20.0,Yes
PO100231,M0199,V045,2025-03-25,2025-04-02,225,Yes,8.0,Yes
PO100232,M0011,V044,2025-04-14,2025-05-04,366,Yes,20.0,Yes
PO100233,M0156,V045,2025-03-23,2025-05-03,69,Yes,41.0,Yes
PO100234,M0189,V044,2025-01-27,2025-02-06,299,Yes,10.0,Yes
PO100235,M0098,V026,2025-06-03,2025-06-13,432,Yes,10.0,Yes
PO100237,M0081,V020,2025-01-03,2025-02-08,296,Yes,36.0,Yes
PO100238,M0101,V006,2025-05-05,2025-07-01,203,Yes,57.0,Yes
PO100239,M0157,V009,2025-01-24,2025-02-02,61,Yes,9.0,Yes
PO100240,M0191,V009,2025-12-05,2026-01-27,434,Yes,53.0,Yes
PO100241,M0147,V001,2026-01-05,2026-02-13,451,Yes,39.0,Yes
PO100242,M0153,V013,2025-10-23,2025-12-16,318,Yes,54.0,Yes
PO100243,M0138,V008,2025-02-25,2025-03-10,314,Yes,13.0,Yes
PO100245,M0165,V002,2025-11-13,2025-12-30,331,Yes,47.0,Yes
PO100246,M0181,V045,2025-03-09,2025-04-13,16,Yes,35.0,Yes
PO100247,M0010,V013,2026-02-13,2026-03-25,338,Yes,40.0,Yes
PO100248,M0134,V002,2026-02-02,2026-02-17,94,Yes,15.0,Yes
PO100249,M0028,V014,2025-08-19,2025-09-09,304,Yes,21.0,Yes
PO100250,M0116,V031,2025-02-11,2025-03-21,138,Yes,38.0,Yes
PO100251,M0117,V042,2025-02-28,2025-04-29,338,Yes,60.0,Yes
PO100252,M0011,V010,2025-08-17,2025-09-29,38,Yes,43.0,Yes
PO100253,M0063,V042,2025-02-15,2025-03-19,127,Yes,32.0,Yes
PO100254,M0133,V016,2025-01-23,2025-02-10,275,Yes,18.0,Yes
PO100255,M0138,V028,2025-04-08,2025-05-17,164,Yes,39.0,Yes
PO100256,M0102,V041,2025-11-27,2026-01-19,443,Yes,53.0,Yes
PO100258,M0011,V035,2025-04-12,2025-05-31,77,Yes,49.0,Yes
PO100259,M0143,V013,2025-01-13,2025-01-30,174,Yes,17.0,Yes
PO100260,M0100,V006,2025-04-25,2025-06-14,387,Yes,50.0,Yes
PO100261,M0133,V020,2026-07-08,2026-08-01,458,Yes,24.0,Yes
PO100262,M0196,V050,2025-01-19,2025-02-18,358,Yes,30.0,Yes
PO100263,M0162,V030,2025-03-29,2025-05-15,321,Yes,47.0,Yes
PO100264,M0013,V010,2025-09-09,2025-10-25,376,Yes,46.0,Yes
PO100265,M0049,V031,2025-06-12,2025-07-10,91,Yes,28.0,Yes
PO100266,M0075,V028,2025-05-24,2025-06-26,238,Yes,33.0,Yes
PO100267,M0113,V002,2025-05-26,2025-07-03,264,Yes,38.0,Yes
PO100268,M0102,V008,2025-02-23,2025-03-28,179,Yes,33.0,Yes
PO100269,M0078,V011,2025-02-11,2025-02-23,494,Yes,12.0,Yes
PO100270,M0199,V010,2025-07-18,2025-08-07,490,Yes,20.0,Yes
PO100271,M0074,V048,2025-07-19,2025-08-07,209,Yes,19.0,Yes
PO100272,M0119,V045,2025-08-31,2025-09-09,73,Yes,9.0,Yes
PO100273,M0043,V029,2025-10-21,2025-11-16,390,Yes,26.0,Yes
PO100274,M0109,V032,2025-03-27,2025-04-02,107,Yes,6.0,Yes
PO100275,M0076,V031,2025-03-25,2025-05-06,345,Yes,42.0,Yes
PO100276,M0157,V002,2025-07-12,2025-08-21,295,Yes,40.0,Yes
PO100277,M0014,V029,2025-05-06,2025-05-25,369,Yes,19.0,Yes
PO100278,M0177,V038,2025-05-26,2025-07-07,444,Yes,42.0,Yes
PO100279,M0133,V016,2025-07-10,2025-07-29,284,Yes,19.0,Yes
PO100280,M0037,V013,2025-09-22,2025-09-27,353,Yes,5.0,Yes
PO100281,M0119,V019,2025-02-19,2025-02-28,182,Yes,9.0,Yes
PO100282,M0166,V037,2025-02-26,2025-04-17,37,Yes,50.0,Yes
PO100283,M0116,V026,2025-01-12,2025-02-26,137,Yes,45.0,Yes
PO100284,M0024,V004,2025-04-14,2025-04-22,338,Yes,8.0,Yes
PO100285,M0185,V022,2025-01-05,2025-01-24,56,Yes,19.0,Yes
PO100286,M0129,V001,2025-03-17,2025-03-26,187,Yes,9.0,Yes
PO100287,M0029,V007,2025-04-04,2025-04-11,341,Yes,7.0,Yes
PO100288,M0047,V041,2025-02-10,2025-04-11,258,Yes,60.0,Yes
PO100289,M0200,V046,2025-04-18,2025-05-14,445,Yes,26.0,Yes
PO100290,M0150,V028,2025-01-04,2025-01-13,58,Yes,9.0,Yes
PO100291,M0179,V027,2025-01-05,2025-02-11,363,Yes,37.0,Yes
PO100292,M0140,V032,2025-07-27,2025-08-16,123,Yes,20.0,Yes
PO100293,M0035,V048,2025-02-23,2025-03-17,188,Yes,22.0,Yes
PO100294,M0101,V038,2025-01-17,2025-03-05,230,Yes,47.0,Yes
PO100295,M0106,V039,2025-03-30,2025-05-05,168,Yes,36.0,Yes
PO100296,M0083,V047,2025-06-26,2025-07-14,420,Yes,18.0,Yes
PO100297,M0116,V036,2025-01-30,2025-03-10,114,Yes,39.0,Yes
PO100298,M0007,V019,2025-04-28,2025-05-11,252,Yes,13.0,Yes
PO100299,M0046,V003,2025-01-11,2025-03-03,107,Yes,51.0,Yes
PO100300,M0117,V032,2025-01-07,2025-02-17,37,Yes,41.0,Yes
PO100301,M0152,V026,2025-04-01,2025-05-12,335,Yes,41.0,Yes
PO100302,M0183,V032,2025-04-04,2025-05-09,92,Yes,35.0,Yes
PO100303,M0052,V033,2025-05-02,2025-05-22,18,Yes,20.0,Yes
PO100304,M0117,V038,2025-06-05,2025-07-30,354,Yes,55.0,Yes
PO100305,M0024,V047,2026-03-23,2026-04-27,63,Yes,35.0,Yes
PO100306,M0065,V040,2025-03-29,2025-05-24,150,Yes,56.0,Yes
PO100307,M0083,V044,2025-02-16,2025-03-19,139,Yes,31.0,Yes
PO100309,M0167,V032,2025-02-07,2025-02-18,185,Yes,11.0,Yes
PO100310,M0183,V015,2025-03-11,2025-03-22,205,Yes,11.0,Yes
PO100311,M0042,V046,2025-01-10,2025-02-26,260,Yes,47.0,Yes
PO100312,M0184,V004,2025-01-04,2025-02-05,214,Yes,32.0,Yes
PO100313,M0188,V034,2026-01-30,2026-02-26,256,Yes,27.0,Yes
PO100314,M0032,V002,2025-08-05,2025-09-06,135,Yes,32.0,Yes
PO100315,M0024,V028,2025-05-23,2025-06-23,61,Yes,31.0,Yes
PO100316,M0030,V037,2025-03-05,2025-04-08,363,Yes,34.0,Yes
PO100317,M0181,V021,2025-01-23,2025-03-24,310,Yes,60.0,Yes
PO100318,M0116,V036,2025-01-21,2025-03-13,88,Yes,51.0,Yes
PO100319,M0163,V005,2025-02-04,2025-02-12,324,Yes,8.0,Yes
PO100320,M0093,V018,2025-04-06,2025-05-24,476,Yes,48.0,Yes
PO100321,M0022,V042,2025-05-31,2025-07-16,207,Yes,46.0,Yes
PO100322,M0135,V027,2025-05-10,2025-06-25,129,Yes,46.0,Yes
PO100323,M0182,V031,2025-02-09,2025-02-20,311,Yes,11.0,Yes
PO100324,M0099,V008,2026-01-07,2026-01-15,3,Yes,8.0,Yes
PO100325,M0187,V032,2025-06-10,2025-07-10,462,Yes,30.0,Yes
PO100326,M0131,V040,2025-04-07,2025-05-28,422,Yes,51.0,Yes
PO100327,M0157,V042,2025-04-24,2025-05-20,242,Yes,26.0,Yes
PO100328,M0041,V023,2025-03-07,2025-05-02,121,Yes,56.0,Yes
PO100329,M0097,V029,2025-02-04,2025-04-05,385,Yes,60.0,Yes
PO100330,M0141,V045,2025-02-22,2025-03-05,102,Yes,11.0,Yes
PO100331,M0098,V028,2025-06-20,2025-07-10,38,Yes,20.0,Yes
PO100332,M0012,V002,2025-01-02,2025-01-19,341,Yes,17.0,Yes
PO100333,M0197,V011,2025-01-15,2025-02-01,496,Yes,17.0,Yes
PO100334,M0044,V019,2025-01-06,2025-02-14,413,Yes,39.0,Yes
PO100335,M0086,V047,2025-01-05,2025-02-07,133,Yes,33.0,Yes
PO100336,M0145,V013,2025-08-21,2025-09-03,497,Yes,13.0,Yes
PO100337,M0169,V031,2025-05-26,2025-06-27,202,Yes,32.0,Yes
PO100338,M0039,V023,2025-03-19,2025-04-04,348,Yes,16.0,Yes
PO100339,M0042,V029,2025-01-13,2025-02-04,21,Yes,22.0,Yes
PO100340,M0038,V015,2025-03-23,2025-04-26,242,Yes,34.0,Yes
PO100341,M0046,V033,2025-03-18,2025-04-07,455,Yes,20.0,Yes
PO100342,M0197,V015,2025-01-23,2025-03-24,451,Yes,60.0,Yes
PO100343,M0183,V038,2025-03-10,2025-03-19,109,Yes,9.0,Yes
PO100344,M0014,V044,2025-03-03,2025-04-05,303,Yes,33.0,Yes
PO100345,M0108,V022,2025-04-25,2025-06-20,84,Yes,56.0,Yes
PO100346,M0079,V039,2025-05-01,2025-06-30,83,Yes,60.0,Yes
PO100347,M0080,V046,2025-01-06,2025-03-06,291,Yes,59.0,Yes
PO100348,M0187,V043,2025-02-26,2025-04-07,452,Yes,40.0,Yes
PO100349,M0197,V030,2025-04-28,2025-05-09,69,Yes,11.0,Yes
PO100350,M0115,V009,2025-03-25,2025-04-02,129,Yes,8.0,Yes
PO100351,M0074,V019,2025-08-21,2025-10-06,196,Yes,46.0,Yes
PO100352,M0161,V047,2025-05-09,2025-06-17,140,Yes,39.0,Yes
PO100353,M0047,V046,2025-01-22,2025-03-21,444,Yes,58.0,Yes
PO100354,M0031,V025,2025-01-09,2025-01-14,283,Yes,5.0,Yes
PO100355,M0034,V027,2025-05-04,2025-05-14,312,Yes,10.0,Yes
PO100356,M0052,V044,2025-01-04,2025-02-26,234,Yes,53.0,Yes
PO100357,M0001,V042,2025-04-16,2025-06-14,23,Yes,59.0,Yes
PO100358,M0160,V048,2025-12-05,2025-12-25,153,Yes,20.0,Yes
PO100359,M0196,V024,2025-04-13,2025-04-28,277,Yes,15.0,Yes
PO100361,M0004,V031,2025-05-04,2025-06-09,319,Yes,36.0,Yes
PO100363,M0128,V011,2025-04-05,2025-04-23,52,Yes,18.0,Yes
PO100364,M0128,V040,2025-12-07,2026-02-05,344,Yes,60.0,Yes
