shipment_id,po_id,actual_delivery_date,shipment_quantity,carrier,is_shipments_qty_given
S500064,PO100208,2025-03-19,249.0,Local,Yes
S500065,PO100492,2025-04-06,279.0,Local,Yes
S500066,PO102712,2025-04-13,0.0,Rail,No
S500067,PO101657,2025-02-28,276.0,Rail,Yes
S500068,PO102918,2025-04-01,2.0,Sea,Yes
S500069,PO100731,2025-09-13,88.0,DHL,Yes
S500070,PO101129,2025-03-28,287.0,Sea,Yes
S500071,PO101605,2025-04-28,130.0,UPS,Yes
S500072,PO102745,2025-08-22,78.0,Sea,Yes
S500073,PO100593,2025-03-26,260.0,Rail,Yes
S500074,PO102933,2025-05-21,241.0,Sea,Yes
S500075,PO102899,2025-02-23,141.0,FedEx,Yes
S500076,PO101215,2025-03-30,228.0,DHL,Yes
S500077,PO100324,2026-01-25,163.0,Rail,Yes
S500078,PO100978,2025-05-11,236.0,Local,Yes
S500079,PO101749,2025-02-02,128.0,Sea,Yes
S500080,PO101850,2025-03-29,200.0,Rail,Yes
S500081,PO101490,2025-03-31,390.0,Local,Yes
S500082,PO100893,2025-04-03,31.0,Local,Yes
S500083,PO101390,2025-04-07,138.0,UPS,Yes
S500084,PO100143,2025-02-27,21.0,UPS,Yes
S500085,PO100383,2025-10-20,234.0,Rail,Yes
S500086,PO102263,2025-04-05,202.0,Rail,Yes
S500087,PO102371,2025-10-09,279.0,FedEx,Yes
S500088,PO100216,2025-03-16,131.0,DHL,Yes
S500089,PO101515,2025-01-18,148.0,DHL,Yes
S500090,PO102998,2025-02-28,29.0,Rail,Yes
S500091,PO102230,2025-08-04,361.0,UPS,Yes
S500092,PO102317,2025-03-20,308.0,Sea,Yes
S500093,PO102992,2025-05-10,371.0,FedEx,Yes
S500094,PO101490,2025-04-15,162.0,DHL,Yes
S500095,PO102917,2025-09-20,357.0,Rail,Yes
S500096,PO101635,2025-04-05,340.0,UPS,Yes
S500097,PO102514,2025-05-23,61.0,UPS,Yes
S500098,PO102352,2025-05-19,125.0,UPS,Yes
S500099,PO101167,2025-05-31,71.0,Sea,Yes
S500100,PO100110,2025-03-27,326.0,Local,Yes
S500101,PO101013,2025-02-04,395.0,Sea,Yes
S500102,PO100231,2025-04-02,364.0,UPS,Yes
S500103,PO101714,2025-02-13,243.0,Rail,Yes
S500104,PO101755,2025-07-19,249.0,FedEx,Yes
S500105,PO102642,2025-08-27,221.0,Sea,Yes
S500106,PO101577,2025-06-22,21.0,Rail,Yes
S500107,PO101296,2025-03-10,387.0,UPS,Yes
S500108,PO102220,2025-07-06,82.0,FedEx,Yes
S500109,PO100972,2025-07-03,344.0,DHL,Yes
S500110,PO101030,2025-01-30,367.0,DHL,Yes
S500111,PO102593,2025-05-10,10.0,Rail,Yes
S500112,PO102595,2025-08-19,12.0,FedEx,Yes
S500113,PO100517,2025-09-23,263.0,Rail,Yes
S500114,PO100913,2025-05-09,145.0,FedEx,Yes
S500115,PO102262,2025-10-18,192.0,FedEx,Yes
S500116,PO102181,2025-02-23,250.0,Rail,Yes
S500117,PO102332,2025-06-24,114.0,FedEx,Yes
S500118,PO101944,2025-08-14,26.0,Sea,Yes
S500119,PO101462,2025-03-08,271.0,UPS,Yes
S500120,PO101872,2025-05-05,33.0,FedEx,Yes
S500121,PO102733,2026-02-22,62.0,Sea,Yes
S500122,PO102378,2025-04-22,229.0,FedEx,Yes
S500123,PO102941,2025-06-03,303.0,Sea,Yes
S500124,PO101307,2025-08-10,95.0,Rail,Yes
S500125,PO100898,2025-01-28,35.0,DHL,Yes
S500126,PO101098,2025-09-10,193.0,Local,Yes
S500127,PO101189,2025-06-26,76.0,FedEx,Yes
S500128,PO101212,2025-04-02,379.0,Local,Yes
S500129,PO102125,2025-05-30,249.0,FedEx,Yes
S500130,PO102994,2025-03-08,83.0,Rail,Yes
S500131,PO100687,2025-04-09,25.0,Rail,Yes
S500132,PO102068,2025-02-21,57.0,Sea,Yes
S500133,PO100565,2025-06-12,32.0,FedEx,Yes
S500134,PO101207,2025-04-13,319.0,Rail,Yes
S500135,PO101894,2025-05-20,12.0,Rail,Yes
S500136,PO100826,2025-03-23,319.0,FedEx,Yes
S500137,PO101351,2025-04-25,333.0,Sea,Yes
S500138,PO102226,2025-04-12,92.0,Sea,Yes
S500139,PO101811,2025-05-02,1.0,Sea,Yes
S500140,PO101082,2025-04-16,326.0,Sea,Yes
S500141,PO101350,2025-09-19,136.0,DHL,Yes
S500142,PO102952,2025-07-31,196.0,FedEx,Yes
S500143,PO101644,2025-02-18,133.0,DHL,Yes
S500144,PO102716,2025-05-01,86.0,Rail,Yes
S500145,PO100190,2025-02-21,295.0,DHL,Yes
S500146,PO101223,2026-02-22,279.0,Sea,Yes
S500147,PO101335,2025-05-01,324.0,Rail,Yes
S500148,PO100707,2025-09-09,180.0,DHL,Yes
S500149,PO100378,2025-09-22,4.0,DHL,Yes
S500150,PO100386,2025-03-14,126.0,FedEx,Yes
S500151,PO102284,2025-02-13,175.0,DHL,Yes
S500152,PO100615,2025-12-01,251.0,Rail,Yes
S500153,PO101542,2025-06-12,0.0,Sea,No
S500154,PO102330,2025-03-11,105.0,FedEx,Yes
S500155,PO102048,2025-05-01,66.0,DHL,Yes
S500156,PO101754,2026-05-07,263.0,FedEx,Yes
S500157,PO100463,2025-06-16,49.0,Local,Yes
S500158,PO100966,2025-07-30,16.0,FedEx,Yes
S500159,PO100171,2025-01-15,145.0,Sea,Yes
S500160,PO101146,2025-07-30,340.0,Local,Yes
S500161,PO100842,2025-03-28,250.0,Local,Yes
S500162,PO101321,2025-02-26,343.0,FedEx,Yes
S500163,PO101908,2025-04-05,354.0,Rail,Yes
S500164,PO100689,2025-03-13,75.0,Sea,Yes
S500165,PO102622,2025-03-30,290.0,Rail,Yes
S500166,PO101507,2025-06-04,282.0,Sea,Yes
S500167,PO102212,2025-02-11,66.0,Sea,Yes
S500168,PO102024,2025-04-16,125.0,Rail,Yes
S500169,PO101722,2025-03-18,319.0,UPS,Yes
S500170,PO100382,2025-06-27,0.0,Local,No
S500171,PO102256,2025-04-11,41.0,FedEx,Yes
S500172,PO101412,2025-03-23,186.0,Rail,Yes
S500173,PO101583,2025-04-12,354.0,Rail,Yes
S500174,PO102271,2025-03-17,380.0,FedEx,Yes
S500175,PO102050,2025-05-03,335.0,Local,Yes
S500176,PO100371,2025-02-01,266.0,FedEx,Yes
S500177,PO101710,2025-01-28,271.0,Sea,Yes
S500178,PO101469,2025-08-05,42.0,UPS,Yes
S500179,PO100610,2025-02-20,93.0,Sea,Yes
S500180,PO100115,2025-10-10,185.0,UPS,Yes
S500181,PO100446,2026-07-09,215.0,FedEx,Yes
S500182,PO101391,2025-01-29,17.0,Sea,Yes
S500183,PO101340,2025-04-14,265.0,Local,Yes
S500184,PO100414,2025-06-19,114.0,Sea,Yes
S500185,PO101808,2025-02-18,292.0,Rail,Yes
S500186,PO102939,2025-03-15,292.0,UPS,Yes
S500187,PO101047,2025-05-20,48.0,UPS,Yes
S500188,PO102710,2025-08-03,0.0,Local,No
S500189,PO101873,2025-08-27,97.0,UPS,Yes
S500190,PO101073,2025-02-27,375.0,UPS,Yes
S500191,PO100717,2026-02-27,95.0,Local,Yes
S500192,PO101358,2025-03-05,326.0,Sea,Yes
S500193,PO101605,2025-05-11,74.0,FedEx,Yes
S500194,PO102318,2025-04-16,336.0,Sea,Yes
S500195,PO100561,2025-02-07,68.0,Rail,Yes
S500196,PO102851,2025-03-02,246.0,Rail,Yes
S500197,PO102294,2025-02-25,77.0,UPS,Yes
S500198,PO100386,2025-02-27,208.0,Rail,Yes
S500199,PO100701,2025-03-05,372.0,FedEx,Yes
S500200,PO102606,2025-02-26,254.0,UPS,Yes
S500201,PO100972,2025-07-25,221.0,Rail,Yes
S500202,PO101384,2025-06-25,262.0,DHL,Yes
S500203,PO100983,2025-02-15,331.0,DHL,Yes
S500204,PO101511,2025-07-16,344.0,DHL,Yes
S500205,PO100351,2025-10-18,259.0,DHL,Yes
S500206,PO101724,2025-07-31,308.0,Sea,Yes
S500207,PO101951,2025-03-31,74.0,DHL,Yes
S500208,PO101279,2025-06-05,125.0,UPS,Yes
S500209,PO101907,2025-03-12,188.0,Local,Yes
S500210,PO100752,2025-07-08,254.0,Sea,Yes
S500211,PO102828,2025-03-27,321.0,Local,Yes
S500212,PO101024,2026-01-20,308.0,UPS,Yes
S500213,PO100545,2025-03-09,235.0,UPS,Yes
S500214,PO101469,2025-07-15,250.0,FedEx,Yes
S500215,PO100078,2025-04-08,332.0,Sea,Yes
S500216,PO101259,2025-05-03,398.0,Local,Yes
S500217,PO102381,2025-09-06,345.0,DHL,Yes
S500218,PO100888,2025-02-05,72.0,UPS,Yes
S500219,PO101105,2025-03-25,235.0,DHL,Yes
S500220,PO102549,2025-03-16,324.0,Local,Yes
S500221,PO101990,2025-07-26,156.0,Sea,Yes
S500222,PO101500,2025-05-04,394.0,Rail,Yes
S500223,PO102812,2025-06-30,115.0,Rail,Yes
S500224,PO100920,2025-09-11,313.0,UPS,Yes
S500225,PO100549,2025-09-14,228.0,FedEx,Yes
S500226,PO102061,2025-05-06,322.0,DHL,Yes
S500227,PO100391,2025-04-20,346.0,UPS,Yes
S500228,PO102357,2025-03-19,245.0,FedEx,Yes
S500229,PO102433,2025-03-25,306.0,DHL,Yes
S500230,PO101380,2025-03-08,14.0,Local,Yes
S500231,PO100973,2025-05-03,16.0,Rail,Yes
S500232,PO100339,2025-02-07,42.0,FedEx,Yes
S500233,PO102644,2025-03-13,110.0,DHL,Yes
S500234,PO100756,2025-05-18,278.0,UPS,Yes
S500235,PO101045,2025-05-12,324.0,DHL,Yes
S500236,PO102338,2025-01-28,19.0,UPS,Yes
S500237,PO102353,2025-10-07,66.0,Rail,Yes
S500238,PO102681,2025-08-23,0.0,Rail,No
S500239,PO102672,2025-08-06,73.0,DHL,Yes
S500240,PO100938,2025-02-02,310.0,DHL,Yes
S500241,PO100847,2027-01-18,112.0,UPS,Yes
S500242,PO100441,2026-07-18,274.0,UPS,Yes
S500243,PO102550,2025-03-12,373.0,FedEx,Yes
S500244,PO100129,2025-04-27,85.0,FedEx,Yes
S500245,PO100596,2025-06-03,139.0,FedEx,Yes
S500246,PO101958,2025-06-22,39.0,DHL,Yes
S500247,PO101505,2025-03-24,105.0,Sea,Yes
S500248,PO100861,2025-04-30,324.0,Sea,Yes
S500249,PO102640,2025-04-01,281.0,Sea,Yes
S500250,PO100998,2026-02-08,123.0,Sea,Yes
S500251,PO102372,2025-06-29,0.0,FedEx,No
S500252,PO102495,2025-04-27,377.0,DHL,Yes
S500253,PO101551,2025-05-14,61.0,Sea,Yes
S500254,PO102866,2025-05-11,100.0,Rail,Yes
S500255,PO101640,2025-05-28,307.0,Local,Yes
S500256,PO101511,2025-07-03,354.0,Rail,Yes
S500257,PO101736,2025-05-01,393.0,DHL,Yes
S500258,PO102756,2025-05-11,204.0,DHL,Yes
S500259,PO101449,2025-07-06,258.0,Local,Yes
S500260,PO101857,2025-03-27,5.0,UPS,Yes
S500261,PO100264,2025-11-06,197.0,UPS,Yes
S500262,PO102659,2025-06-21,180.0,UPS,Yes
S500263,PO102879,2025-03-05,342.0,FedEx,Yes
S500264,PO102721,2025-08-13,133.0,UPS,Yes
S500265,PO101462,2025-02-22,324.0,FedEx,Yes
S500266,PO100156,2025-06-09,253.0,FedEx,Yes
S500267,PO101445,2025-04-01,265.0,UPS,Yes
S500268,PO102298,2025-03-12,93.0,UPS,Yes
S500269,PO102925,2025-12-03,150.0,Local,Yes
S500270,PO101632,2025-05-25,138.0,Sea,Yes
S500271,PO102577,2025-06-27,208.0,Local,Yes
S500272,PO102374,2025-07-19,125.0,FedEx,Yes
S500273,PO100894,2025-06-08,234.0,Local,Yes
S500274,PO102144,2025-04-24,61.0,FedEx,Yes
S500275,PO100512,2025-12-06,307.0,DHL,Yes
S500276,PO100215,2025-03-26,266.0,FedEx,Yes
S500277,PO102172,2025-04-13,134.0,FedEx,Yes
S500278,PO101706,2025-06-15,318.0,Local,Yes
S500279,PO102106,2025-09-22,113.0,Sea,Yes
S500280,PO101567,2025-03-08,0.0,DHL,No
S500281,PO102208,2025-04-09,378.0,Rail,Yes
S500282,PO102331,2025-03-20,191.0,Rail,Yes
S500283,PO102153,2025-10-08,379.0,Sea,Yes
S500284,PO101128,2025-04-24,187.0,Rail,Yes
S500285,PO100227,2025-05-07,319.0,DHL,Yes
S500286,PO102365,2025-03-21,367.0,UPS,Yes
S500287,PO101487,2025-06-26,89.0,DHL,Yes
S500288,PO100801,2025-03-02,187.0,Local,Yes
S500289,PO101622,2025-05-27,0.0,FedEx,No
S500290,PO101905,2025-02-18,132.0,FedEx,Yes
S500291,PO102921,2025-07-11,360.0,Local,Yes
S500292,PO100471,2026-03-11,123.0,Local,Yes
S500293,PO101079,2026-01-24,48.0,FedEx,Yes
S500294,PO102672,2025-07-31,288.0,Sea,Yes
S500295,PO102060,2025-02-04,376.0,UPS,Yes
S500296,PO101041,2025-08-21,179.0,UPS,Yes
S500297,PO102741,2025-03-09,180.0,UPS,Yes
S500298,PO102160,2025-06-26,99.0,Local,Yes
S500299,PO100228,2025-12-07,330.0,FedEx,Yes
S500300,PO100170,2025-07-01,34.0,Sea,Yes
S500301,PO100294,2025-03-08,70.0,FedEx,Yes
S500302,PO100188,2025-06-08,171.0,FedEx,Yes
S500303,PO100425,2025-06-05,366.0,Sea,Yes
S500304,PO100976,2025-05-12,272.0,DHL,Yes
S500305,PO101102,2025-10-27,59.0,Sea,Yes
S500306,PO102705,2025-09-12,181.0,DHL,Yes
S500307,PO100918,2025-07-14,19.0,Rail,Yes
S500308,PO100498,2026-04-14,0.0,DHL,No
S500309,PO101821,2025-03-03,95.0,UPS,Yes
S500310,PO102809,2025-07-24,369.0,UPS,Yes
S500311,PO100865,2025-05-14,297.0,Sea,Yes
S500312,PO100825,2026-01-06,81.0,UPS,Yes
S500313,PO101858,2025-09-24,175.0,UPS,Yes
S500314,PO102118,2025-02-14,222.0,Rail,Yes
S500315,PO102295,2025-03-11,103.0,UPS,Yes
S500316,PO100145,2025-02-22,54.0,Local,Yes
S500317,PO101641,2025-09-29,183.0,Local,Yes
S500318,PO101319,2025-01-26,351.0,Local,Yes
S500319,PO102629,2025-04-24,318.0,DHL,Yes
S500320,PO100469,2026-04-01,355.0,Sea,Yes
S500321,PO100192,2025-11-04,349.0,Sea,Yes
S500322,PO101091,2025-06-23,321.0,FedEx,Yes
S500323,PO102541,2025-09-01,68.0,Rail,Yes
S500324,PO100051,2025-08-17,28.0,Local,Yes
S500325,PO102929,2025-03-29,274.0,Local,Yes
S500326,PO102410,2025-07-11,282.0,UPS,Yes
S500327,PO101820,2025-03-12,0.0,Local,No
S500328,PO102964,2025-09-23,311.0,UPS,Yes
S500329,PO102521,2025-01-31,119.0,UPS,Yes
S500330,PO101869,2025-07-13,380.0,FedEx,Yes
S500331,PO102568,2025-08-24,134.0,DHL,Yes
S500332,PO101786,2025-07-16,129.0,UPS,Yes
S500333,PO101454,2025-01-27,8.0,UPS,Yes
S500334,PO101867,2025-03-21,51.0,Sea,Yes
S500335,PO102738,2026-02-09,341.0,FedEx,Yes
S500336,PO102579,2025-07-18,281.0,UPS,Yes
S500337,PO102007,2025-07-11,175.0,Rail,Yes
S500338,PO101434,2025-03-26,183.0,DHL,Yes
S500339,PO100839,2025-06-13,192.0,Rail,Yes
S500340,PO100240,2026-01-25,249.0,Local,Yes
S500341,PO100535,2026-01-19,235.0,DHL,Yes
S500342,PO101407,2025-05-01,83.0,Local,Yes
S500343,PO100082,2025-03-20,93.0,Sea,Yes
S500344,PO100981,2025-07-12,373.0,UPS,Yes
S500345,PO100950,2025-05-18,394.0,FedEx,Yes
S500346,PO100610,2025-02-26,312.0,Rail,Yes
S500347,PO100573,2025-05-28,0.0,Local,No
S500348,PO102333,2025-06-16,120.0,UPS,Yes
S500349,PO100988,2025-03-18,71.0,Rail,Yes
S500350,PO100458,2025-01-28,17.0,Rail,Yes
S500351,PO102173,2025-10-24,253.0,Sea,Yes
S500352,PO101522,2025-03-18,122.0,Sea,Yes
S500353,PO102472,2025-12-18,380.0,Local,Yes
S500354,PO102601,2025-02-02,10.0,UPS,Yes
S500355,PO102657,2025-09-13,287.0,FedEx,Yes
S500356,PO101984,2025-02-14,316.0,Local,Yes
S500357,PO101566,2025-06-12,326.0,Rail,Yes
S500358,PO102159,2025-07-30,273.0,Rail,Yes
S500359,PO102449,2025-03-15,306.0,DHL,Yes
S500360,PO100121,2025-11-21,293.0,UPS,Yes
S500361,PO100272,2025-09-24,210.0,DHL,Yes
S500362,PO101317,2025-07-03,218.0,Sea,Yes
S500363,PO100397,2025-04-17,241.0,FedEx,Yes
S500364,PO102518,2025-05-26,374.0,Local,Yes
S500365,PO100984,2025-08-17,200.0,Rail,Yes
S500366,PO101230,2025-10-24,216.0,UPS,Yes
S500367,PO101133,2025-03-17,205.0,Rail,Yes
S500368,PO101301,2026-02-03,216.0,Sea,Yes
S500369,PO101910,2025-03-05,80.0,DHL,Yes
S500370,PO102616,2025-04-06,267.0,DHL,Yes
S500371,PO101505,2025-03-31,390.0,Local,Yes
S500372,PO101916,2025-10-17,379.0,UPS,Yes
S500373,PO102944,2025-08-18,35.0,Sea,Yes
S500374,PO100819,2025-03-11,289.0,UPS,Yes
S500375,PO102900,2025-02-24,18.0,Local,Yes
S500376,PO102757,2025-11-26,165.0,Sea,Yes
S500377,PO101956,2025-06-05,13.0,Sea,Yes
S500378,PO102368,2025-03-04,202.0,DHL,Yes
S500379,PO100178,2026-01-21,229.0,DHL,Yes
S500380,PO100896,2025-04-17,346.0,DHL,Yes
S500381,PO102266,2025-05-30,366.0,Rail,Yes
S500382,PO102836,2026-09-28,1.0,FedEx,Yes
S500383,PO101972,2025-03-22,319.0,DHL,Yes
S500384,PO101551,2025-05-01,217.0,FedEx,Yes
S500385,PO100491,2025-05-23,34.0,FedEx,Yes
S500386,PO100060,2025-04-20,359.0,UPS,Yes
S500387,PO101077,2025-06-29,266.0,Local,Yes
S500388,PO101703,2025-05-24,128.0,Rail,Yes
S500389,PO102585,2025-06-08,212.0,FedEx,Yes
S500390,PO102895,2025-05-17,263.0,Rail,Yes
S500391,PO100064,2025-03-29,312.0,UPS,Yes
S500392,PO100585,2025-04-05,80.0,DHL,Yes
S500393,PO101727,2026-12-30,165.0,Sea,Yes
S500394,PO102218,2025-10-27,252.0,FedEx,Yes
S500395,PO100534,2025-07-17,12.0,Local,Yes
S500396,PO102740,2025-05-06,304.0,Sea,Yes
S500397,PO102155,2025-02-12,212.0,UPS,Yes
S500398,PO101870,2025-09-10,282.0,Rail,Yes
S500399,PO102861,2025-04-12,112.0,DHL,Yes
S500400,PO101004,2025-05-07,211.0,Rail,Yes
S500401,PO102499,2025-04-28,378.0,Local,Yes
S500402,PO101229,2025-05-03,239.0,FedEx,Yes
S500403,PO102637,2025-06-29,268.0,Local,Yes
S500404,PO101039,2025-04-06,298.0,Rail,Yes
S500405,PO100326,2025-06-16,317.0,Rail,Yes
S500406,PO100607,2025-03-25,58.0,Sea,Yes
S500407,PO102706,2025-01-26,34.0,Local,Yes
S500408,PO100001,2026-01-13,263.0,Local,Yes
S500409,PO101033,2025-02-12,365.0,Local,Yes
S500410,PO102481,2025-10-22,35.0,DHL,Yes
S500411,PO100124,2025-03-25,271.0,Rail,Yes
S500412,PO101104,2026-11-15,227.0,UPS,Yes
S500413,PO102532,2025-03-23,25.0,DHL,Yes
S500414,PO102699,2025-07-16,234.0,DHL,Yes
S500415,PO101861,2025-06-06,59.0,DHL,Yes
S500416,PO101173,2025-03-10,251.0,Sea,Yes
S500417,PO102847,2025-04-02,335.0,UPS,Yes
S500418,PO102920,2025-03-25,86.0,Local,Yes
S500419,PO100128,2025-01-28,251.0,Sea,Yes
S500420,PO100437,2025-08-14,390.0,Rail,Yes
S500421,PO100750,2025-02-08,180.0,FedEx,Yes
S500422,PO102548,2025-03-22,207.0,Sea,Yes
S500423,PO101221,2025-03-19,344.0,FedEx,Yes
S500424,PO102258,2025-02-27,149.0,Rail,Yes
S500425,PO100901,2025-02-09,71.0,UPS,Yes
S500426,PO102092,2025-03-05,121.0,FedEx,Yes
S500427,PO101302,2025-01-22,253.0,DHL,Yes
S500428,PO102582,2025-04-24,93.0,Sea,Yes
S500429,PO101433,2025-07-13,256.0,FedEx,Yes
S500430,PO102508,2025-08-22,254.0,Rail,Yes
S500431,PO100390,2026-09-04,352.0,DHL,Yes
S500432,PO101067,2025-02-27,288.0,FedEx,Yes
S500433,PO100026,2025-03-24,309.0,Rail,Yes
S500434,PO102841,2025-07-24,59.0,UPS,Yes
S500435,PO100547,2025-07-06,69.0,Rail,Yes
S500436,PO102668,2025-07-23,0.0,UPS,No
S500437,PO100566,2025-03-30,86.0,DHL,Yes
S500438,PO100703,2025-03-13,274.0,Rail,Yes
S500439,PO101242,2025-08-01,227.0,Local,Yes
S500440,PO100184,2025-04-03,81.0,Sea,Yes
S500441,PO101590,2025-08-08,114.0,Local,Yes
S500442,PO101913,2025-03-25,184.0,Local,Yes
S500443,PO100847,2027-01-16,280.0,Local,Yes
S500444,PO100598,2025-02-28,322.0,Sea,Yes
S500445,PO100805,2025-07-01,397.0,Local,Yes
S500446,PO101357,2025-03-31,318.0,UPS,Yes
S500447,PO102126,2025-06-05,54.0,Rail,Yes
S500448,PO102626,2025-02-21,399.0,DHL,Yes
S500449,PO101878,2025-02-24,197.0,Local,Yes
S500450,PO102460,2026-10-06,387.0,Local,Yes
S500451,PO100545,2025-03-25,293.0,DHL,Yes
S500452,PO101632,2025-05-29,293.0,DHL,Yes
S500453,PO102216,2025-08-31,387.0,Local,Yes
S500454,PO102728,2025-03-22,291.0,UPS,Yes
S500455,PO102630,2025-05-25,180.0,DHL,Yes
S500456,PO102562,2025-02-01,380.0,Rail,Yes
S500457,PO102079,2025-08-04,222.0,Rail,Yes
S500458,PO102334,2025-03-12,274.0,UPS,Yes
S500459,PO102641,2025-03-01,0.0,Sea,No
S500460,PO101926,2025-06-07,244.0,FedEx,Yes
S500461,PO100616,2025-02-17,154.0,UPS,Yes
S500462,PO102317,2025-03-11,304.0,Local,Yes
S500463,PO101203,2025-04-19,273.0,FedEx,Yes
S500464,PO101759,2025-04-19,135.0,Local,Yes
S500465,PO102565,2025-03-11,313.0,Rail,Yes
S500466,PO102630,2025-06-07,8.0,DHL,Yes
S500467,PO100225,2025-05-19,128.0,Local,Yes
S500468,PO100669,2025-03-13,373.0,Rail,Yes
S500469,PO101763,2025-04-07,56.0,UPS,Yes
S500470,PO100916,2025-03-18,126.0,Local,Yes
S500471,PO102173,2025-10-10,159.0,Rail,Yes
S500472,PO102121,2025-06-02,59.0,DHL,Yes
S500473,PO101214,2025-06-01,58.0,Local,Yes
S500474,PO101705,2025-03-05,140.0,Sea,Yes
S500475,PO101842,2025-04-01,176.0,Rail,Yes
S500476,PO101983,2025-06-02,108.0,Local,Yes
S500477,PO100055,2025-12-10,211.0,DHL,Yes
S500478,PO100719,2025-06-30,74.0,Local,Yes
S500479,PO102600,2025-07-05,167.0,Local,Yes
S500480,PO102079,2025-07-27,357.0,Sea,Yes
S500481,PO100573,2025-05-30,304.0,Rail,Yes
S500482,PO100666,2025-02-24,233.0,FedEx,Yes
S500483,PO100283,2025-03-07,327.0,Local,Yes
S500484,PO101744,2025-04-03,372.0,FedEx,Yes
S500485,PO102234,2025-05-28,182.0,UPS,Yes
S500486,PO100497,2025-02-22,122.0,Local,Yes
S500487,PO101465,2025-02-09,334.0,FedEx,Yes
S500488,PO100129,2025-04-26,203.0,UPS,Yes
S500489,PO100638,2025-03-24,29.0,Sea,Yes
S500490,PO102161,2025-06-17,202.0,Rail,Yes
S500491,PO102060,2025-02-04,93.0,Local,Yes
S500492,PO102491,2025-03-02,329.0,Rail,Yes
S500493,PO102494,2025-05-01,356.0,UPS,Yes
S500494,PO100985,2025-04-26,176.0,Rail,Yes
S500495,PO100992,2025-04-07,330.0,Rail,Yes
S500496,PO102762,2025-06-15,211.0,DHL,Yes
S500497,PO102121,2025-05-29,184.0,UPS,Yes
