shipment_id,po_id,actual_delivery_date,shipment_quantity,carrier
S500094,PO101490,15-04-2025,162,DHL
S500095,PO102917,20-09-2025,357,Rail
S500096,PO101635,05-04-2025,340,UPS
S500097,PO102514,23-05-2025,61,UPS
S500098,PO102352,19-05-2025,125,UPS
S500099,PO101167,31-05-2025,71,Sea
S500100,PO100110,27-03-2025,326,Local
S500101,PO101013,04-02-2025,395,Sea
S500102,PO100231,02-04-2025,364,UPS
S500103,PO101714,13-02-2025,243,Rail
S500104,PO101755,19-07-2025,249,FedEx
S500105,PO102642,27-08-2025,221,Sea
S500106,PO101577,22-06-2025,21,Rail
S500107,PO101296,10-03-2025,387,UPS
S500108,PO102220,06-07-2025,82,FedEx
S500109,PO100972,03-07-2025,344,DHL
S500110,PO101030,30-01-2025,367,DHL
S500111,PO102593,10-05-2025,10,Rail
S500112,PO102595,19-08-2025,12,FedEx
S500113,PO100517,23-09-2025,263,Rail
S500114,PO100913,09-05-2025,145,FedEx
S500115,PO102262,18-10-2025,192,FedEx
S500116,PO102181,23-02-2025,250,Rail
S500117,PO102332,24-06-2025,114,FedEx
S500118,PO101944,14-08-2025,26,Sea
S500119,PO101462,08-03-2025,271,UPS
S500120,PO101872,05-05-2025,33,FedEx
S500121,PO102733,22-02-2026,62,Sea
S500122,PO102378,22-04-2025,229,FedEx
S500123,PO102941,03-06-2025,303,Sea
S500124,PO101307,10-08-2025,95,Rail
S500125,PO100898,28-01-2025,35,DHL
S500126,PO101098,10-09-2025,193,Local
S500127,PO101189,26-06-2025,76,FedEx
S500128,PO101212,02-04-2025,379,Local
S500129,PO102125,30-05-2025,249,FedEx
S500130,PO102994,08-03-2025,83,Rail
S500131,PO100687,09-04-2025,25,Rail
S500132,PO102068,21-02-2025,57,Sea
S500133,PO100565,12-06-2025,32,FedEx
S500134,PO101207,13-04-2025,319,Rail
S500135,PO101894,20-05-2025,12,Rail
S500136,PO100826,23-03-2025,319,FedEx
S500137,PO101351,25-04-2025,333,Sea
S500138,PO102226,12-04-2025,92,Sea
S500139,PO101811,02-05-2025,1,Sea
S500140,PO101082,16-04-2025,326,Sea
S500141,PO101350,19-09-2025,136,DHL
S500142,PO102952,31-07-2025,196,FedEx
S500143,PO101644,18-02-2025,133,DHL
S500144,PO102716,01-05-2025,86,Rail
S500145,PO100190,21-02-2025,295,DHL
S500146,PO101223,22-02-2026,279,Sea
S500147,PO101335,01-05-2025,324,Rail
S500148,PO100707,09-09-2025,180,DHL
S500149,PO100378,22-09-2025,4,DHL
S500150,PO100386,14-03-2025,126,FedEx
S500151,PO102284,13-02-2025,175,DHL
S500152,PO100615,01-12-2025,251,Rail
S500153,PO101542,12-06-2025,,Sea
S500154,PO102330,11-03-2025,105,FedEx
S500155,PO102048,01-05-2025,66,DHL
S500156,PO101754,07-05-2026,263,FedEx
S500157,PO100463,16-06-2025,49,Local
S500158,PO100966,30-07-2025,16,FedEx
S500159,PO100171,15-01-2025,145,Sea
S500160,PO101146,30-07-2025,340,Local
S500161,PO100842,28-03-2025,250,Local
S500162,PO101321,26-02-2025,343,FedEx
S500163,PO101908,05-04-2025,354,Rail
S500164,PO100689,13-03-2025,75,Sea
S500165,PO102622,30-03-2025,290,Rail
S500166,PO101507,04-06-2025,282,Sea
S500167,PO102212,11-02-2025,66,Sea
S500168,PO102024,16-04-2025,125,Rail
S500169,PO101722,18-03-2025,319,UPS
S500170,PO100382,27-06-2025,,Local
S500171,PO102256,11-04-2025,41,FedEx
S500172,PO101412,23-03-2025,186,Rail
S500173,PO101583,12-04-2025,354,Rail
S500174,PO102271,17-03-2025,380,FedEx
S500175,PO102050,03-05-2025,335,Local
S500176,PO100371,01-02-2025,266,FedEx
S500177,PO101710,28-01-2025,271,Sea
S500178,PO101469,05-08-2025,42,UPS
S500179,PO100610,20-02-2025,93,Sea
S500180,PO100115,10-10-2025,185,UPS
S500181,PO100446,09-07-2026,215,FedEx
S500182,PO101391,29-01-2025,17,Sea
S500183,PO101340,14-04-2025,265,Local
S500184,PO100414,19-06-2025,114,Sea
S500185,PO101808,18-02-2025,292,Rail
S500186,PO102939,15-03-2025,292,UPS
S500187,PO101047,20-05-2025,48,UPS
S500188,PO102710,03-08-2025,,Local
S500189,PO101873,27-08-2025,97,UPS
S500190,PO101073,27-02-2025,375,UPS
S500191,PO100717,27-02-2026,95,Local
S500192,PO101358,05-03-2025,326,Sea
S500193,PO101605,11-05-2025,74,FedEx
S500194,PO102318,16-04-2025,336,Sea
S500195,PO100561,07-02-2025,68,Rail
S500196,PO102851,02-03-2025,246,Rail
S500197,PO102294,25-02-2025,77,UPS
S500198,PO100386,27-02-2025,208,Rail
S500199,PO100701,05-03-2025,372,FedEx
S500200,PO102606,26-02-2025,254,UPS
S500201,PO100972,25-07-2025,221,Rail
S500202,PO101384,25-06-2025,262,DHL
S500203,PO100983,15-02-2025,331,DHL
S500204,PO101511,16-07-2025,344,DHL
S500205,PO100351,18-10-2025,259,DHL
S500206,PO101724,31-07-2025,308,Sea
S500207,PO101951,31-03-2025,74,DHL
S500208,PO101279,05-06-2025,125,UPS
S500209,PO101907,12-03-2025,188,Local
S500210,PO100752,08-07-2025,254,Sea
S500211,PO102828,27-03-2025,321,Local
S500212,PO101024,20-01-2026,308,UPS
S500213,PO100545,09-03-2025,235,UPS
S500214,PO101469,15-07-2025,250,FedEx
S500215,PO100078,08-04-2025,332,Sea
S500216,PO101259,03-05-2025,398,Local
S500217,PO102381,06-09-2025,345,DHL
S500218,PO100888,05-02-2025,72,UPS
S500219,PO101105,25-03-2025,235,DHL
S500220,PO102549,16-03-2025,324,Local
S500221,PO101990,26-07-2025,156,Sea
S500222,PO101500,04-05-2025,394,Rail
S500223,PO102812,30-06-2025,115,Rail
S500224,PO100920,11-09-2025,313,UPS
S500225,PO100549,14-09-2025,228,FedEx
S500226,PO102061,06-05-2025,322,DHL
S500227,PO100391,20-04-2025,346,UPS
S500228,PO102357,19-03-2025,245,FedEx
S500229,PO102433,25-03-2025,306,DHL
S500230,PO101380,08-03-2025,14,Local
S500231,PO100973,03-05-2025,16,Rail
S500232,PO100339,07-02-2025,42,FedEx
S500233,PO102644,13-03-2025,110,DHL
S500234,PO100756,18-05-2025,278,UPS
S500235,PO101045,12-05-2025,324,DHL
S500236,PO102338,28-01-2025,19,UPS
S500237,PO102353,07-10-2025,66,Rail
S500238,PO102681,23-08-2025,,Rail
S500239,PO102672,06-08-2025,73,DHL
S500240,PO100938,02-02-2025,310,DHL
S500241,PO100847,18-01-2027,112,UPS
S500242,PO100441,18-07-2026,274,UPS
S500243,PO102550,12-03-2025,373,FedEx
S500244,PO100129,27-04-2025,85,FedEx
S500245,PO100596,03-06-2025,139,FedEx
S500246,PO101958,22-06-2025,39,DHL
S500247,PO101505,24-03-2025,105,Sea
S500248,PO100861,30-04-2025,324,Sea
S500249,PO102640,01-04-2025,281,Sea
S500250,PO100998,08-02-2026,123,Sea
S500251,PO102372,29-06-2025,,FedEx
S500252,PO102495,27-04-2025,377,DHL
S500253,PO101551,14-05-2025,61,Sea
S500254,PO102866,11-05-2025,100,Rail
S500255,PO101640,28-05-2025,307,Local
S500256,PO101511,03-07-2025,354,Rail
S500257,PO101736,01-05-2025,393,DHL
S500258,PO102756,11-05-2025,204,DHL
S500259,PO101449,06-07-2025,258,Local
S500260,PO101857,27-03-2025,5,UPS
S500261,PO100264,06-11-2025,197,UPS
S500262,PO102659,21-06-2025,180,UPS
S500263,PO102879,05-03-2025,342,FedEx
S500264,PO102721,13-08-2025,133,UPS
S500265,PO101462,22-02-2025,324,FedEx
S500266,PO100156,09-06-2025,253,FedEx
S500267,PO101445,01-04-2025,265,UPS
S500268,PO102298,12-03-2025,93,UPS
S500269,PO102925,03-12-2025,150,Local
S500270,PO101632,25-05-2025,138,Sea
S500271,PO102577,27-06-2025,208,Local
S500272,PO102374,19-07-2025,125,FedEx
S500273,PO100894,08-06-2025,234,Local
S500274,PO102144,24-04-2025,61,FedEx
S500275,PO100512,06-12-2025,307,DHL
S500276,PO100215,26-03-2025,266,FedEx
S500277,PO102172,13-04-2025,134,FedEx
S500278,PO101706,15-06-2025,318,Local
S500279,PO102106,22-09-2025,113,Sea
S500280,PO101567,08-03-2025,,DHL
S500281,PO102208,09-04-2025,378,Rail
S500282,PO102331,20-03-2025,191,Rail
S500283,PO102153,08-10-2025,379,Sea
S500284,PO101128,24-04-2025,187,Rail
S500285,PO100227,07-05-2025,319,DHL
S500286,PO102365,21-03-2025,367,UPS
S500287,PO101487,26-06-2025,89,DHL
S500288,PO100801,02-03-2025,187,Local
S500289,PO101622,27-05-2025,,FedEx
S500290,PO101905,18-02-2025,132,FedEx
S500291,PO102921,11-07-2025,360,Local
S500292,PO100471,11-03-2026,123,Local
S500293,PO101079,24-01-2026,48,FedEx
S500294,PO102672,31-07-2025,288,Sea
S500295,PO102060,04-02-2025,376,UPS
S500296,PO101041,21-08-2025,179,UPS
S500297,PO102741,09-03-2025,180,UPS
S500298,PO102160,26-06-2025,99,Local
S500299,PO100228,07-12-2025,330,FedEx
S500300,PO100170,01-07-2025,34,Sea
S500301,PO100294,08-03-2025,70,FedEx
S500302,PO100188,08-06-2025,171,FedEx
S500303,PO100425,05-06-2025,366,Sea
S500304,PO100976,12-05-2025,272,DHL
S500305,PO101102,27-10-2025,59,Sea
S500306,PO102705,12-09-2025,181,DHL
S500307,PO100918,14-07-2025,19,Rail
S500308,PO100498,14-04-2026,,DHL
S500309,PO101821,03-03-2025,95,UPS
S500310,PO102809,24-07-2025,369,UPS
S500311,PO100865,14-05-2025,297,Sea
S500312,PO100825,06-01-2026,81,UPS
S500313,PO101858,24-09-2025,175,UPS
S500314,PO102118,14-02-2025,222,Rail
S500315,PO102295,11-03-2025,103,UPS
S500316,PO100145,22-02-2025,54,Local
S500317,PO101641,29-09-2025,183,Local
S500318,PO101319,26-01-2025,351,Local
S500319,PO102629,24-04-2025,318,DHL
S500320,PO100469,01-04-2026,355,Sea
S500321,PO100192,04-11-2025,349,Sea
S500322,PO101091,23-06-2025,321,FedEx
S500323,PO102541,01-09-2025,68,Rail
S500324,PO100051,17-08-2025,28,Local
S500325,PO102929,29-03-2025,274,Local
S500326,PO102410,11-07-2025,282,UPS
S500327,PO101820,12-03-2025,,Local
S500328,PO102964,23-09-2025,311,UPS
S500329,PO102521,31-01-2025,119,UPS
S500330,PO101869,13-07-2025,380,FedEx
S500331,PO102568,24-08-2025,134,DHL
S500332,PO101786,16-07-2025,129,UPS
S500333,PO101454,27-01-2025,8,UPS
S500334,PO101867,21-03-2025,51,Sea
S500335,PO102738,09-02-2026,341,FedEx
S500336,PO102579,18-07-2025,281,UPS
S500337,PO102007,11-07-2025,175,Rail
S500338,PO101434,26-03-2025,183,DHL
S500339,PO100839,13-06-2025,192,Rail
S500340,PO100240,25-01-2026,249,Local
S500341,PO100535,19-01-2026,235,DHL
S500342,PO101407,01-05-2025,83,Local
S500343,PO100082,20-03-2025,93,Sea
S500344,PO100981,12-07-2025,373,UPS
S500345,PO100950,18-05-2025,394,FedEx
S500346,PO100610,26-02-2025,312,Rail
S500347,PO100573,28-05-2025,,Local
S500348,PO102333,16-06-2025,120,UPS
S500349,PO100988,18-03-2025,71,Rail
S500350,PO100458,28-01-2025,17,Rail
S500351,PO102173,24-10-2025,253,Sea
S500352,PO101522,18-03-2025,122,Sea
S500353,PO102472,18-12-2025,380,Local
S500354,PO102601,02-02-2025,10,UPS
S500355,PO102657,13-09-2025,287,FedEx
S500356,PO101984,14-02-2025,316,Local
S500357,PO101566,12-06-2025,326,Rail
S500358,PO102159,30-07-2025,273,Rail
S500359,PO102449,15-03-2025,306,DHL
S500360,PO100121,21-11-2025,293,UPS
S500361,PO100272,24-09-2025,210,DHL
S500362,PO101317,03-07-2025,218,Sea
S500363,PO100397,17-04-2025,241,FedEx
S500364,PO102518,26-05-2025,374,Local
S500365,PO100984,17-08-2025,200,Rail
S500366,PO101230,24-10-2025,216,UPS
S500367,PO101133,17-03-2025,205,Rail
S500368,PO101301,03-02-2026,216,Sea
S500369,PO101910,05-03-2025,80,DHL
S500370,PO102616,06-04-2025,267,DHL
S500371,PO101505,31-03-2025,390,Local
S500372,PO101916,17-10-2025,379,UPS
S500373,PO102944,18-08-2025,35,Sea
S500374,PO100819,11-03-2025,289,UPS
S500375,PO102900,24-02-2025,18,Local
S500376,PO102757,26-11-2025,165,Sea
S500377,PO101956,05-06-2025,13,Sea
S500378,PO102368,04-03-2025,202,DHL
S500379,PO100178,21-01-2026,229,DHL
S500380,PO100896,17-04-2025,346,DHL
S500381,PO102266,30-05-2025,366,Rail
S500382,PO102836,28-09-2026,1,FedEx
S500383,PO101972,22-03-2025,319,DHL
S500384,PO101551,01-05-2025,217,FedEx
S500385,PO100491,23-05-2025,34,FedEx
S500386,PO100060,20-04-2025,359,UPS
S500387,PO101077,29-06-2025,266,Local
S500388,PO101703,24-05-2025,128,Rail
S500389,PO102585,08-06-2025,212,FedEx
S500390,PO102895,17-05-2025,263,Rail
S500391,PO100064,29-03-2025,312,UPS
S500392,PO100585,05-04-2025,80,DHL
S500393,PO101727,30-12-2026,165,Sea
S500394,PO102218,27-10-2025,252,FedEx
S500395,PO100534,17-07-2025,12,Local
S500396,PO102740,06-05-2025,304,Sea
S500397,PO102155,12-02-2025,212,UPS
S500398,PO101870,10-09-2025,282,Rail
S500399,PO102861,12-04-2025,112,DHL
S500400,PO101004,07-05-2025,211,Rail
S500401,PO102499,28-04-2025,378,Local
S500402,PO101229,03-05-2025,239,FedEx
S500403,PO102637,29-06-2025,268,Local
S500404,PO101039,06-04-2025,298,Rail
S500405,PO100326,16-06-2025,317,Rail
S500406,PO100607,25-03-2025,58,Sea
S500407,PO102706,26-01-2025,34,Local
S500408,PO100001,13-01-2026,263,Local
S500409,PO101033,12-02-2025,365,Local
S500410,PO102481,22-10-2025,35,DHL
S500411,PO100124,25-03-2025,271,Rail
S500412,PO101104,15-11-2026,227,UPS
S500413,PO102532,23-03-2025,25,DHL
S500414,PO102699,16-07-2025,234,DHL
S500415,PO101861,06-06-2025,59,DHL
S500416,PO101173,10-03-2025,251,Sea
S500417,PO102847,02-04-2025,335,UPS
S500418,PO102920,25-03-2025,86,Local
S500419,PO100128,28-01-2025,251,Sea
S500420,PO100437,14-08-2025,390,Rail
S500421,PO100750,08-02-2025,180,FedEx
S500422,PO102548,22-03-2025,207,Sea
S500423,PO101221,19-03-2025,344,FedEx
S500424,PO102258,27-02-2025,149,Rail
S500425,PO100901,09-02-2025,71,UPS
S500426,PO102092,05-03-2025,121,FedEx
S500427,PO101302,22-01-2025,253,DHL
S500428,PO102582,24-04-2025,93,Sea
S500429,PO101433,13-07-2025,256,FedEx
S500430,PO102508,22-08-2025,254,Rail
S500431,PO100390,04-09-2026,352,DHL
S500432,PO101067,27-02-2025,288,FedEx
S500433,PO100026,24-03-2025,309,Rail
S500434,PO102841,24-07-2025,59,UPS
S500435,PO100547,06-07-2025,69,Rail
S500436,PO102668,23-07-2025,,UPS
S500437,PO100566,30-03-2025,86,DHL
S500438,PO100703,13-03-2025,274,Rail
S500439,PO101242,01-08-2025,227,Local
S500440,PO100184,03-04-2025,81,Sea
S500441,PO101590,08-08-2025,114,Local
S500442,PO101913,25-03-2025,184,Local
S500443,PO100847,16-01-2027,280,Local
S500444,PO100598,28-02-2025,322,Sea
S500445,PO100805,01-07-2025,397,Local
S500446,PO101357,31-03-2025,318,UPS
S500447,PO102126,05-06-2025,54,Rail
S500448,PO102626,21-02-2025,399,DHL
S500449,PO101878,24-02-2025,197,Local
S500450,PO102460,06-10-2026,387,Local
S500451,PO100545,25-03-2025,293,DHL
S500452,PO101632,29-05-2025,293,DHL
S500453,PO102216,31-08-2025,387,Local
S500454,PO102728,22-03-2025,291,UPS
S500455,PO102630,25-05-2025,180,DHL
S500456,PO102562,01-02-2025,380,Rail
S500457,PO102079,04-08-2025,222,Rail
S500458,PO102334,12-03-2025,274,UPS
S500459,PO102641,01-03-2025,,Sea
S500460,PO101926,07-06-2025,244,FedEx
S500461,PO100616,17-02-2025,154,UPS
S500462,PO102317,11-03-2025,304,Local
S500463,PO101203,19-04-2025,273,FedEx
S500464,PO101759,19-04-2025,135,Local
S500465,PO102565,11-03-2025,313,Rail
S500466,PO102630,07-06-2025,8,DHL
S500467,PO100225,19-05-2025,128,Local
S500468,PO100669,13-03-2025,373,Rail
S500469,PO101763,07-04-2025,56,UPS
S500470,PO100916,18-03-2025,126,Local
S500471,PO102173,10-10-2025,159,Rail
S500472,PO102121,02-06-2025,59,DHL
S500473,PO101214,01-06-2025,58,Local
S500474,PO101705,05-03-2025,140,Sea
S500475,PO101842,01-04-2025,176,Rail
S500476,PO101983,02-06-2025,108,Local
S500477,PO100055,10-12-2025,211,DHL
S500478,PO100719,30-06-2025,74,Local
S500479,PO102600,05-07-2025,167,Local
S500480,PO102079,27-07-2025,357,Sea
S500481,PO100573,30-05-2025,304,Rail
S500482,PO100666,24-02-2025,233,FedEx
S500483,PO100283,07-03-2025,327,Local
S500484,PO101744,03-04-2025,372,FedEx
S500485,PO102234,28-05-2025,182,UPS
S500486,PO100497,22-02-2025,122,Local
S500487,PO101465,09-02-2025,334,FedEx
S500488,PO100129,26-04-2025,203,UPS
S500489,PO100638,24-03-2025,29,Sea
S500490,PO102161,17-06-2025,202,Rail
S500491,PO102060,04-02-2025,93,Local
S500492,PO102491,02-03-2025,329,Rail
S500493,PO102494,01-05-2025,356,UPS
S500494,PO100985,26-04-2025,176,Rail
S500495,PO100992,07-04-2025,330,Rail
S500496,PO102762,15-06-2025,211,DHL
S500497,PO102121,29-05-2025,184,UPS
S500498,PO102584,13-06-2025,95,Rail
S500499,PO100100,10-03-2025,273,FedEx
S500500,PO102223,05-03-2025,137,UPS
S500501,PO100426,06-05-2025,237,DHL
S500502,PO100040,15-02-2025,353,Local
S500503,PO100428,07-04-2025,265,Sea
S500504,PO100343,26-03-2025,135,Rail
S500505,PO100365,09-04-2025,,FedEx
S500506,PO100608,08-05-2025,19,DHL
S500507,PO102704,12-07-2025,231,UPS
S500508,PO100727,20-09-2025,134,Sea
S500509,PO102276,22-07-2025,114,Sea
S500510,PO100824,26-04-2025,139,Rail
S500511,PO101375,06-10-2025,125,DHL
S500512,PO100888,30-01-2025,204,DHL
S500513,PO102043,28-02-2025,61,FedEx
S500514,PO101341,24-03-2025,250,Local
S500515,PO102883,28-02-2025,298,Local
S500516,PO101296,17-02-2025,13,Local
S500517,PO100116,02-08-2025,396,Sea
S500518,PO102865,27-05-2025,255,Sea
S500519,PO102415,01-03-2026,85,UPS
S500520,PO101117,17-10-2025,20,Sea
S500521,PO100167,07-04-2025,50,Sea
S500522,PO101738,07-04-2025,164,DHL
S500523,PO101364,16-07-2025,92,UPS
S500524,PO102708,15-01-2025,88,DHL
S500525,PO100694,13-02-2025,69,FedEx
S500526,PO100924,15-05-2025,37,FedEx
S500527,PO100151,26-03-2025,253,UPS
S500528,PO100585,01-04-2025,252,UPS
S500529,PO100912,23-05-2025,140,Sea
S500530,PO102321,27-06-2025,355,FedEx
S500531,PO101577,18-06-2025,381,Rail
S500532,PO100495,21-03-2025,168,Local
S500533,PO102148,23-04-2025,54,Sea
S500534,PO100556,10-02-2025,386,Local
S500535,PO101105,07-03-2025,178,FedEx
S500536,PO101552,27-09-2025,297,Local
S500537,PO102120,14-08-2025,301,Rail
S500538,PO100156,27-05-2025,359,Rail
S500539,PO100734,25-04-2025,106,DHL
S500540,PO102179,29-04-2025,137,UPS
S500541,PO101427,03-02-2026,190,Local
S500542,PO100558,02-09-2025,128,Rail
S500543,PO102154,20-03-2025,342,UPS
S500544,PO102312,14-05-2025,47,UPS
S500545,PO100154,22-06-2026,5,DHL
S500546,PO100996,23-12-2025,257,UPS
S500547,PO102294,17-02-2025,300,UPS
S500548,PO100530,19-09-2025,150,Sea
S500549,PO102905,01-02-2025,294,FedEx
S500550,PO101971,12-09-2025,243,DHL
S500551,PO102585,05-06-2025,275,DHL
S500552,PO100728,07-02-2025,208,Local
S500553,PO101177,01-03-2025,115,UPS
S500554,PO100153,28-04-2025,195,Local
S500555,PO100091,11-08-2025,343,Sea
S500556,PO102385,03-06-2025,170,Rail
S500557,PO101503,05-03-2025,379,UPS
S500558,PO101716,02-02-2025,82,Rail
S500559,PO102497,20-10-2025,154,FedEx
S500560,PO102016,24-02-2025,141,Sea
S500561,PO102857,24-02-2025,314,UPS
S500562,PO100786,03-06-2025,146,Local
S500563,PO100272,14-09-2025,323,Local
S500564,PO102027,20-05-2026,122,UPS
S500565,PO102635,16-07-2025,252,Local
S500566,PO100176,24-06-2025,343,UPS
S500567,PO102878,02-06-2025,387,DHL
S500568,PO100642,20-03-2025,311,Local
S500569,PO101898,02-04-2025,89,UPS
S500570,PO100566,28-03-2025,58,UPS
S500571,PO100665,22-03-2025,63,Local
S500572,PO101331,17-06-2025,347,DHL
S500573,PO102915,05-07-2025,308,Local
S500574,PO101798,03-03-2025,382,UPS
S500575,PO101069,11-04-2025,280,DHL
S500576,PO102349,10-02-2025,72,Rail
S500577,PO102915,16-06-2025,9,FedEx
S500578,PO102959,15-08-2025,366,Local
S500579,PO100407,16-01-2025,94,Sea
S500580,PO101212,18-03-2025,373,UPS
S500581,PO102869,26-03-2025,339,DHL
S500582,PO101853,20-09-2025,336,DHL
S500583,PO101152,08-07-2025,152,Rail
S500584,PO102608,21-06-2025,356,Local
S500585,PO101141,11-03-2025,40,Sea
S500586,PO102511,18-10-2025,359,DHL
S500587,PO100143,07-03-2025,62,Rail
S500588,PO102489,12-03-2025,254,UPS
S500589,PO100486,06-02-2025,69,Rail
S500590,PO100859,16-02-2025,398,Local
S500591,PO101935,26-08-2025,245,Rail
S500592,PO100147,02-05-2025,365,DHL
S500593,PO101359,11-06-2025,170,DHL
S500594,PO101357,11-04-2025,178,FedEx
S500595,PO102858,13-02-2025,189,Rail
S500596,PO102713,09-04-2025,260,UPS
S500597,PO100089,25-04-2025,72,Sea
S500598,PO101357,01-04-2025,17,Sea
S500599,PO100198,19-11-2025,370,Local
S500600,PO100537,03-04-2025,341,FedEx
S500601,PO100300,16-02-2025,,Rail
S500602,PO100723,07-07-2025,218,UPS
S500603,PO101598,26-03-2025,107,FedEx
S500604,PO101459,24-06-2025,304,DHL
S500605,PO100067,12-08-2025,173,Local
S500606,PO102506,09-10-2025,219,Rail
S500607,PO101537,02-07-2025,247,Sea
S500608,PO100397,07-05-2025,218,UPS
S500609,PO100619,24-06-2025,373,DHL
S500610,PO101584,20-08-2026,31,FedEx
S500611,PO101163,15-08-2025,368,Local
S500612,PO100729,15-03-2025,47,FedEx
S500613,PO100555,15-05-2025,134,Sea
S500614,PO101952,02-05-2025,108,FedEx
S500615,PO102828,15-03-2025,72,UPS
S500616,PO101751,01-03-2025,327,DHL
S500617,PO102941,03-06-2025,108,Rail
S500618,PO102657,04-09-2025,309,UPS
S500619,PO102795,03-06-2025,398,Sea
S500620,PO102329,22-02-2025,272,Local
S500621,PO102708,21-01-2025,171,Sea
S500622,PO102971,18-02-2025,116,Sea
S500623,PO100995,25-01-2025,329,FedEx
S500624,PO101959,13-08-2025,74,Local
S500625,PO101601,11-04-2025,256,UPS
S500626,PO102793,10-03-2025,81,Sea
S500627,PO101480,28-09-2025,268,UPS
S500628,PO102134,13-07-2025,128,Rail
S500629,PO101102,11-11-2025,326,FedEx
S500630,PO102838,04-08-2025,235,UPS
S500631,PO102351,13-12-2025,41,Local
S500632,PO101403,07-08-2025,181,Sea
S500633,PO102177,16-05-2025,157,Rail
